,University,State,Graduation Rate,Number of Classes Under 20,Student-Faculty Ratio,Alumni Giving Rate
1,Boston College,MA,85,39,13,25
2,Brandeis University,MA,79,68,8,33
3,Brown University,RI,93,60,8,40
4,California Institute of Technology,CA,85,65,3,46
5,Carnegie Mellon University ,PA,75,67,10,28
6,Case Western Reserve Univ.,OH,72,52,8,31
7,College of William and Mary ,VA,89,45,12,27
8,Columbia University,NY,90,69,7,31
9,Cornell University,NY,91,72,13,35
10,Dartmouth College,NH,94,61,10,53
11,Duke University,NC,92,68,8,45
12,Emory University,GA,84,65,7,37
13,Georgetown University ,DC,91,54,10,29
14,Harvard University,MA,97,73,8,46
15,Johns Hopkins University ,MD,89,64,9,27
16,Lehigh University ,PA,81,55,11,40
17,Massachusetts Inst. of Technology,MA,92,65,6,44
18,New York University,NY,72,63,13,13
19,Northwestern University,IL,90,66,8,30
20,Pennsylvania State Univ. ,PA,80,32,19,21
21,Princeton University,NJ,95,68,5,67
22,Rice University,TX,92,62,8,40
23,Stanford University ,CA,92,69,7,34
24,Tufts University ,MA,87,67,9,29
25,Tulane University ,LA,72,56,12,17
26,U. of California！Berkeley,CA,83,58,17,18
27,U. of California！Davis,CA,74,32,19,7
28,U. of California！Irvine,CA,74,42,20,9
29,U. of California！Los Angeles ,CA,78,41,18,13
30,U. of California！San Diego,CA,80,48,19,8
31,U. of California！Santa Barbara,CA,70,45,20,12
32,U. of Chicago,IL,84,65,4,36
33,U. of Florida,FL,67,31,23,19
34,U. of Illinois！Urbana Champaign,IL,77,29,15,23
35,U. of Michigan！Ann Arbor,MI,83,51,15,13
36,U. of North Carolina！Chapel Hill,NC,82,40,16,26
37,U. of Notre Dame,IN,94,53,13,49
38,U. of Pennsylvania,PA,90,65,7,41
39,U. of Rochester,NY,76,63,10,23
40,U. of Southern California,CA,70,53,13,22
41,U. of Texas！Austin ,TX,66,39,21,13
42,U. of Virginia,VA,92,44,13,28
43,U. of Washington ,WA,70,37,12,12
44,U. of Wisconsin！Madison,WI,73,37,13,13
45,Vanderbilt University ,TN,82,68,9,31
46,Wake Forest University,NC,82,59,11,38
47,Washington University！St. Louis ,MO,86,73,7,33
48,Yale University,CT,94,77,7,50
